Equipo,Presupuesto,Año
Unión La Calera,58,2015
San Luis,70,2015
Palestino,70,2015
Cobresal,75,2015
Universidad de Concepción,75,2015
Huachipato,80,2015
Antofagasta,95,2015
Audax Italiano,95,2015
O'Higgins,100,2015
Unión Española,110,2015
San Marcos,117,2015
Deportes Iquique,120,2015
Santiago Wanderers,190,2015
Universidad Católica,200,2015
Universidad de Chile,250,2015
Colo Colo,380,2015
Curicó Unido,70,2017
Deportes Iquique,80,2017
Deportes Temuco,80,2017
O’Higgins,82,2017
Huachipato,85,2017
Palestino,87,2017
San Luis,87,2017
Santiago Wanderers,92,2017
Universidad de Concepción,95,2017
Antofagasta,100,2017
Unión Española,125,2017
Everton,125,2017
Universidad Católica,350,2017
Universidad de Chile,500,2017
Colo Colo,500,2017

